x_1	x_2	y_1	y_2	P(x_1)	P(x_2)	P(y_1)	P(y_2)	P(x_1, y_1)	P(x_1, y_2)	P(x_2, y_1)	P(x_2, y_2)	P(y_1|x_1)	P(y_2|x_2)	P(x_1|y_1)	P(x_2|y_2)
He should be back before more sunlight reaches us	He should be back before the sun implodes	He will be back quickly	He will be back slowly	0.012815089207553981	0.015356658631975726	0.011773398567817209	0.008564472049066893	0.022782233426683538	0.01809467807366068	0.02484802996509544	0.020250873469449565	0.5573374452835482	0.44903250250509935	0.47831424401939737	0.5281153264070901
Her commitment to the cause was as sturdy as oak	Her commitment to the cause was as sturdy as plywood	She was committed	She was uncommitted	0.011959447006263101	0.012595040997702834	0.0070853729568707315	0.006054395226097975	0.017670332636875723	0.015147056813363839	0.01882129832102511	0.016239954554101852	0.5384441886722569	0.46318808434888387	0.48422973084599563	0.5174100319387347
The crowd's reaction to the performance fizzled like fireworks	The crowd's reaction to the performance fizzled like flat soda	The crowd was enthusiastic	The crowd was unenthusiastic	0.02048679515684525	0.02018728493273203	0.013842362154118512	0.06629096106100657	0.025131174235208005	0.050035964756161615	0.023041815890310662	0.04740072269944478	0.3343372459352678	0.6728991266981161	0.5216859939506906	0.48647715698505506
The pilot flew like a ballet dancer	The pilot flew like a modern dancer	The pilot flew in a restrained way	The pilot flew in a creative way	0.008885362242706486	0.002996324180504793	0.00497232699555438	0.005398714908458677	0.018700551370406184	0.018514372011466714	0.011834298950939477	0.011519246229968182	0.5025014072584408	0.4932547131810021	0.6124330453106362	0.38354507063940874
He had the air of a cult leader	He had the air of a church leader	People were intimidated by him	People were not intimidated by him	0.03782153632530398	0.027134033358698604	0.010209862330608246	0.016048434480741152	0.05251385908653891	0.04571842205271991	0.0392294701001754	0.037968551749836994	0.5345886146336429	0.4918332211103269	0.5723997543152558	0.45369727240246954
The venture was charting new waters	The venture was blown out to sea	The venture was innovative	The venture was unsuccessful	0.004993773673186364	0.0028366571101709802	0.001239467691346291	0.0037047172240243487	0.010085242404865571	0.00869317671674381	0.004534504394591289	0.007348854201695339	0.5370655718968332	0.6184155886696667	0.6898370090267396	0.45809998989893264
She was as bright as diamond	She was as bright as obsidian	She was intelligent	She was unintelligent	0.019665695635385217	0.017492520594658955	0.009477913657904846	0.006569057558603336	0.03241921572886598	0.02163962693096727	0.026754138871382886	0.022142657470652128	0.5997023638272241	0.45284474908669614	0.5478684780992564	0.5057446812855916
Vanity is the quicksand of reason	Vanity is the tailwind of reason	Vanity destroys reason	Vanity motivates reason	0.012509545875606057	0.0057885933643435665	0.000462069490804005	0.000658391215880841	0.014932716354511748	0.01230440363747038	0.009704795115672021	0.009618116101477978	0.5482487266975192	0.4977570922616177	0.606096779400114	0.4387322358930337
The movie has the depth of the ocean	The movie has the depth of a wading pool	The movie is profound	The movie is vapid	0.007916658053231074	0.017720022326375255	0.003000723697805201	0.006049950938736784	0.015291450360961696	0.012925906709507736	0.021715482459227997	0.023138369823573632	0.5419164637840869	0.5158613730140099	0.41320501850991587	0.6415869677116371
Even a monkey falls from a tree sometimes	Even a monkey writes a sonnet sometimes	Experts can fail sometimes	Novices can succeed sometimes	0.01479627439566066	0.004739847229582998	0.00623087809176205	0.00220474349021489	0.006386472920787532	0.009636910651059972	0.0027636054228808386	0.004975426845696306	0.39857205515621125	0.6429003876748353	0.697969206483004	0.3404949308624152
Time is a crystal	Time is a river	You can't change the future	You can change the future	0.006697406942040475	0.03526016370870643	0.06910887135403496	0.02077040601181335	0.02824276007716895	0.01840856766412099	0.04954706427151643	0.030163959711233253	0.60540099166721	0.3784164122362932	0.363064967862294	0.6210086512100764
The bar is a giant's step away	The bar is a cat's jump away	The bar is far away	The bar is close by	0.003330293809087149	0.0070062026143308965	0.006887064662374439	0.005657035811086297	0.013987298144310968	0.012225998863738631	0.02083166389824017	0.019540342113652628	0.5335955313067158	0.4840072130152866	0.40171496574819027	0.6151272545855968
He had funnels in his ears throughout the lecture	He had cotton in his ears throughout the lecture	He did pay attention	He did not pay attention	0.00689769333844089	0.015393234699299176	0.007916393810670122	0.024162491254649747	0.011721807053234438	0.01701441710846894	0.020419232993412632	0.03026241549381756	0.4079104821591708	0.5971079551889973	0.36469905878037223	0.6401108921233853
The conference had a rivulet of submissions	The conference had a tsunami of submissions	There were few submissions	There were many submissions	0.006695315478685824	0.004477403796490663	0.004340223868841365	0.0084884555098071	0.010465088120481372	0.013173118947296036	0.008735777654676681	0.012120147326891722	0.4427191999154171	0.5811368873642864	0.5450320961058449	0.47918474409374934
She's about as sharp as a knife	She's about as sharp as a spoon	She is smart	She is dimwitted	0.046689791912841	0.03480692196648938	0.010348943142583002	0.011956784137787635	0.04083558411818251	0.041351186520201644	0.03216783236802791	0.036430851090660944	0.4968632275120789	0.5310721613571512	0.559365384302198	0.46837100453605535
The software is a fortress	The software is a ball of yarn	The software is well protected	the software is messy	0.0034924869317337305	0.012893213496491533	0.005478648777247775	0.00155214752560673	0.019706698518221186	0.004942596290193568	0.01729483637147411	0.011341695186067346	0.799483257894004	0.3960568745302711	0.5325913797081262	0.6964807282282538
Her gaze is a laser	Her gaze is a disco ball	Her gaze is focused	Her gaze is diffuse	0.005225560020231169	0.00435583581759104	0.003142502431797617	0.001195070186759691	0.01624875390958784	0.00845739444495581	0.010607979510992113	0.007855574530161303	0.657680577175016	0.4254638360876792	0.6050160179620593	0.4815539428870217
The foundation of the argument was titanium	The foundation of the argument was puff pastry	The argument was sound	The argument was unsound	0.003171710492384344	0.0035999825299773466	0.004430115410426135	0.0074419819363027205	0.010067195897499735	0.011502900266312418	0.009411360413996912	0.011266158153527186	0.46672002855459344	0.54485058817559	0.516834807287944	0.4948012318203956
She is as dull as a knife	She is as dull as a spoon	She is intelligent	She is unintelligent	0.020981197706519402	0.02381797571889544	0.007038317778207253	0.006935013124164752	0.02624775373193795	0.033680652748298984	0.027388882310305018	0.036001225511546414	0.4379851772063033	0.5679312868929417	0.4893624147358128	0.5166511926859517
this dinner has the flavor of a rubber duck	this dinner has the flavor of the ring of fire	The dinner taste bland	The dinner taste spicy	0.007200638014447636	0.008841930651362516	0.00016972555295686245	7.227961807931323e-05	0.005149726344398715	0.004348549486017849	0.005801434311631319	0.005908040162602328	0.5421748574522987	0.5045521193630677	0.47024479926363993	0.5760238407702251
the excitement of that game was like a snow cone.	the excitement of that game was like a wildfire.	The game was boring.	The game was really exciting.	0.003835801371028714	0.004244106320226939	0.0028305133937911787	0.005277570613678043	0.007596810298739585	0.009455794343949	0.007791803568327025	0.010692076202553844	0.44549266566129925	0.5784541089364759	0.49366436537845854	0.5306802114831791
his talent shined as bright as a star	his talent shined as bright as a dungeon	He is clearly very talented.	He is not very talented.	0.01986087178005415	0.006342347291241505	0.005481423873403478	0.004668844350201066	0.01629495887694973	0.014450376669522456	0.007028169447766545	0.006890198319032995	0.5299977569709583	0.4950435593079146	0.6986609450534744	0.32286844767435174
the meteor was as bright as new york city	the meteor was as bright as coal	The meteor was very bright	The meteor was not bright at all	0.012950714129407898	0.0058352625331772	0.006643300817306545	0.00966091845314501	0.022152542377985997	0.023508137305625378	0.017262152156735693	0.020565649386941255	0.48515577366530166	0.5436649381591905	0.5620376521875896	0.466618616875273
the fresh actors career is taking off like a plane	the fresh actors career is sinking like a ship	The actors career is going successfully	The actors career is doing terribly	0.0025303255453076943	0.001735534939799266	0.000919612589524276	0.0009257337982220791	0.006188647820446041	0.006131235981523423	0.004762504824930128	0.0059439664929525045	0.5023300479065168	0.5551751194648523	0.5651138305572821	0.4922456998560993
the solution came at me like a cheetah	the solution came at me like a turtle	The solution was thought of fast.	The solution was though of slow.	0.015311120971616066	0.004711533534617814	0.0007410342285925081	0.0004238827488929307	0.008874018912407931	0.007579608716521816	0.004382588708836878	0.003824040339436645	0.5393351005953911	0.4659696834038248	0.6694034526741655	0.33533479684194295
his speech was as fiery as a dying star	his speech was as fiery as a burning meteor	His speech was extremely dull, mild, and not persuasive	His conversation was full of energy and very persuasive	0.013663888655181545	0.012420123348086818	0.01452281807102603	0.017655677701405508	0.016013073077794128	0.0167808843397688	0.01650354065410307	0.017062164706225676	0.4882934033822422	0.5083213513037453	0.49245820028566173	0.5041556593508257
the car has the speed of a cheetah	the car has the speed of a goldfish	The car is very fast	The car is slow.	0.028049088774441094	0.014864445141718547	0.013058102177871534	0.0009298654521893514	0.044236519692472144	0.020431811748461554	0.02822037300522671	0.01343257674457429	0.6840522819562243	0.32248800685810886	0.6105218985450234	0.3966578858300269
he moves at the speed of a caterpillar pupa	he moves at the speed of a fire crackle	He moves very slow	He moves very fast	0.015990274066303867	0.01123687522914308	0.005022183517377152	0.008652772012512001	0.018140482745981654	0.02290518481228524	0.015468875821372326	0.020553448860640013	0.4419585263226649	0.5705753041225384	0.5397449853030571	0.47294282225547324
the book has the pace of a glacier	the book has the pace of a raging storm	The book is very slow.	The book is fast paced.	0.009212510176101474	0.010429693146987483	0.00335670172281383	0.0032358727246447885	0.012364724987311965	0.013914986467640349	0.011752465773591524	0.01588732196400098	0.4705045947139529	0.5747989859702448	0.5126934189763299	0.5330903141426888
emails are as fast as a turtle	emails are as fast as a rocket	Emails are slow.	Emails are fast.	0.00860012462722788	0.009787815777853287	0.000998499946905696	0.0007066215161627951	0.007009226706847516	0.007619451628648716	0.006392740191654117	0.008066351106672998	0.47914285529402545	0.5578740005332324	0.5229998521807394	0.5142453492997825
the movie is as long as an interstate	the movie is as long as a gnat	The movie is very long	The movie is very short	0.007615187401317055	0.012667842498870145	0.013930209262041332	0.012241200793332088	0.02191221801618691	0.018472986932300883	0.027524492791333777	0.02534238484400548	0.5425803346581111	0.47936223922301724	0.4432377813625388	0.5783902730162306
that man has the laughter of booming thunder	that man has the laughter of a mouse	It's a very loud and deep laugh	It's barely audible and high-pitched	0.002307696249722661	0.00731274126461474	0.02085058551131933	0.020282711378150933	0.012086702301367654	0.010955322761316446	0.01902469707665199	0.01752000100557814	0.5245503495672228	0.4794129360750485	0.3884975456908238	0.6152695979508719
the explanation was like clear water	the explanation was like mud	The explanation was easy and simple to understand	The explanation made to sense.	0.002496901119179407	0.001014176639469589	0.02018002819746146	0.00018973188663546478	0.016866191039745564	0.0020822208866037245	0.011677667091077574	0.005063798769618382	0.8901110607740046	0.30247045340914225	0.5908868717902076	0.7086180857632101
the headlight was as bright as a sun	the headlight was as bright as a dim candle	The headlight was very bright.	the headlight was very dim.	0.02497934866975119	0.01680412148980968	0.004586717621982317	0.002949012573803449	0.02916611757233041	0.01377571233396236	0.021982838454166168	0.011925717516119753	0.67920062177081	0.351702311551405	0.5702192153681798	0.46400988527420983
that woman's purity is a field of virgin snow	that woman's purity is a pile of yellow snow	Clean and untouched snow	Dirty and defiled snow	0.008912511134524403	0.005151310437652816	0.001410276334158052	0.0027396509557848603	0.008531114880422611	0.008825683862867159	0.005449693702510843	0.006053402193093486	0.49151430552369485	0.5262411309121285	0.61020182272123	0.4068396520005648
the event planning hit several storms in the process	the event planning was met with clear skies	The planning ran into several problems	The planning was easy and without issue	0.00229178243700068	0.0023455734337851307	0.005304510773699124	0.005419638134448594	0.006837096719566444	0.00541369753749902	0.005330769896263044	0.006971052140653004	0.5580941591295804	0.5666682642403582	0.5618977373298858	0.562873882945786
the dinner was as tasty as a leather shoe	the dinner was as tasty as a michelin star	The dinner was very dry and tasteless.	The dinner was award winning.	0.006825552392562455	0.011488023576734957	0.008338353092205028	0.0010207092236646442	0.013121054808013524	0.0075294830602186886	0.0167109192737219	0.011284900947068964	0.6353856200616604	0.4030923494318029	0.43983193241130053	0.5998017762738241
the bulb is as bright as clarity	the bulb is as bright as mud	The bulb is very bright	The bulb is not very bright	0.00402255635451428	0.004337575614686661	0.005571783317618459	0.009982386221251983	0.015928404794514118	0.01647136219624101	0.016730708518968088	0.019134088283937124	0.4916209674921147	0.5335061115524619	0.48771700081455116	0.5373921134515414
that man has the intelligence of a evil genius	that man has the intelligence of a field mouse	The man is a highly intelligent person	The man is basically a dumb animal	0.013315834299705816	0.02083914502473503	0.020410092326490333	0.0074855903688653405	0.02294235534788681	0.017831721272269715	0.03457732127731927	0.02734535518144933	0.56267013871616	0.44160486505549085	0.3988609932106796	0.6052927132073908
the idea he had hit a glacier	the idea he had was a lightbulb moment	his idea sunk and failed	his idea was brilliant and worked	0.00315290996300602	0.021108480768105932	0.0020031704282871634	0.008907650670285481	0.0023524586721176636	0.005543689294332473	0.009072819438791808	0.018773197193856343	0.2979248466610556	0.674178911889525	0.20589946689099928	0.7720230631900531
